Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
0.064656,,,0.064656,1.48994855,,0.071298,0.286655973
0.12688,,,0.12688,1.45479352,,0.1283,1.00153313
0.19335,9.19228397,,0.18999,3.72660815,,0.18934,3.37555117
0.25816,10.4765071,,0.25518,7.83924073,,0.25419,7.67158491
0.32126,17.4843122,,0.31977,15.9501579,,0.31947,15.8935638
0.38515,27.5477802,,0.3844,27.3176279,,0.38387,27.202304
0.44877,42.6562656,,0.44848,42.5588491,,0.4481,42.4528641
0.5128,63.6162947,,0.5123,63.4245694,,0.51149,63.1247064
0.57851,90.0339699,,0.57876,90.1528257,,0.5789,90.2159978
0.64237,125.051196,,0.64141,124.496702,,0.64082,124.151063
0.70791,173.49242,,0.70846,173.893349,,0.70958,174.720926
0.77178,221.107023,,0.77208,221.366074,,0.77209,221.376102
0.8372,293.549882,,0.83777,294.15633,,0.83489,291.126423
0.9002,374.659899,,0.89975,374.10182,,0.90031,374.794405
0.9656,462.661733,,0.96626,463.606969,,0.96523,462.12435
1.0297,560.758136,,1.0299,561.137829,,1.0277,557.479299
1.0931,682.689325,,1.0928,682.109219,,1.0945,685.349683
1.1571,831.713425,,1.1571,831.623646,,1.1588,835.409894
1.2196,980.338116,,1.2198,980.830434,,1.2196,980.387851
1.2834,1197.12072,,1.2818,1192.54209,,1.2828,1195.31865
1.3516,1510.10477,,1.3531,1514.98576,,1.3534,1516.09226
1.411,1634.07457,,1.4109,1633.61044,,1.4105,1632.45546
1.477,1974.96188,,1.4763,1972.52237,,1.4731,1959.38131
1.5432,2217.68531,,1.5421,2212.91363,,1.5414,2210.00927
1.6127,2825.0773,,1.6152,2838.49199,,1.6163,2844.30179
1.6712,3100.17732,,1.6656,3068.69244,,1.6664,3073.20589
1.734,3230.09348,,1.7261,3185.81912,,1.7238,3173.02807
1.8025,4097.2913,,1.8032,4102.06992,,1.8019,4093.59137
1.8588,4384.57425,,1.8528,4342.10846,,1.8483,4310.64701
1.9293,5292.19819,,1.9266,5269.97894,,1.9207,5221.64937
1.9944,6053.1151,,1.9897,6010.73137,,1.9899,6012.28464
2.0591,6887.15362,,2.0553,6849.33853,,2.0551,6847.01658
2.1251,7937.33325,,2.1247,7933.50842,,2.1265,7953.1193
2.1908,9338.04941,,2.1911,9342.18617,,2.1891,9316.24496
2.2513,9979.67265,,2.2454,9901.84617,,2.2405,9837.58003
2.3197,11580.5245,,2.32,11584.686,,2.3167,11535.7187
2.3801,12895.1725,,2.3843,12962.3589,,2.3832,12944.8456
2.4491,15701.5437,,2.4564,15841.0896,,2.4491,15700.3215
2.5139,18096.5766,,2.5127,18071.7704,,2.517,18165.31
2.5673,17790.1656,,2.5653,17748.313,,2.5653,17749.0685
2.6391,32633.6844,,2.6392,32637.4878,,2.6392,32638.6733
