Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
0.064657,,,0.064657,1.3875521,,0.074738,0.24211567
0.12673,,,0.12673,0.86196404,,0.13626,0.24274528
0.19337,3.4502402,,0.19256,1.1065648,,0.19752,0.51044094
0.2584,2.5547587,,0.25713,1.447154,,0.25979,1.0474819
0.32237,3.1035149,,0.32278,2.1914332,,0.32389,1.9637244
0.38726,3.8607431,,0.38746,3.3118927,,0.38708,3.1854025
0.45193,5.7268037,,0.453,5.3061574,,0.4538,5.3064167
0.51727,7.8590255,,0.51759,7.6534112,,0.51694,7.6200659
0.58059,11.449461,,0.57968,11.373725,,0.5787,11.316307
0.64514,14.757554,,0.64354,14.645974,,0.64175,14.524041
0.71057,21.389385,,0.71019,21.355886,,0.7098,21.320061
0.77146,27.3857,,0.7713,27.368293,,0.7735,27.603235
0.83767,36.39209,,0.83565,36.128928,,0.83834,36.480104
0.90083,44.288158,,0.90074,44.274051,,0.90261,44.550916
0.96498,57.230045,,0.96479,57.195067,,0.96723,57.63041
1.0291,68.922684,,1.0281,68.724989,,1.0276,68.618253
1.0954,80.765934,,1.0953,80.732083,,1.0914,79.873996
1.1563,100.28174,,1.1555,100.07037,,1.1544,99.794487
1.2234,116.34779,,1.2239,116.48692,,1.2194,115.20536
1.2853,146.20704,,1.2882,147.20979,,1.2896,147.67988
1.3518,172.96106,,1.3537,173.67938,,1.3498,172.17036
1.4165,205.09842,,1.4177,205.62407,,1.4205,206.85762
1.4788,225.36231,,1.4771,224.58125,,1.478,224.97899
1.5448,266.94774,,1.546,267.54224,,1.5461,267.5853
1.6091,321.6715,,1.6133,324.19948,,1.6164,326.08112
1.6688,356.81011,,1.6688,356.79254,,1.6643,353.89584
1.7383,426.35692,,1.7354,424.19399,,1.7297,420.05134
1.8019,504.48786,,1.7999,502.79336,,1.8045,506.71763
1.8658,534.74333,,1.8668,535.54401,,1.8642,533.37248
1.9325,656.53522,,1.9352,659.22326,,1.929,652.9176
1.9958,744.13176,,1.9974,745.94137,,2.0015,750.50377
2.0598,828.91519,,2.0598,828.95287,,2.0546,822.67512
2.1242,987.55074,,2.1265,990.74177,,2.1223,984.9216
2.1906,1091.5501,,2.1944,1097.1777,,2.1965,1100.2807
2.247,1149.3569,,2.2414,1140.8233,,2.2457,1147.4812
2.3135,1305.2964,,2.3143,1306.6828,,2.3257,1326.0364
2.3784,1476.0291,,2.3702,1460.8155,,2.3719,1464.0547
2.4403,1621.4658,,2.4373,1615.447,,2.446,1632.7277
2.5094,1902.4594,,2.5073,1897.5148,,2.5058,1894.1876
2.5741,2208.8845,,2.5797,2223.2687,,2.5755,2212.5704
2.6397,4093.4943,,2.6397,4093.3929,,2.6398,4093.842
