Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
0.064656,,,0.064656,1.3925432,,0.073733,0.24404946
0.12582,,,0.12582,0.91688067,,0.13304,0.32956041
0.19336,4.2226236,,0.19275,1.3986834,,0.19565,0.87611486
0.2576,3.9197676,,0.25676,2.4079346,,0.25807,2.0656823
0.32225,5.3299133,,0.32223,4.0967446,,0.32171,3.9399738
0.38706,7.3303264,,0.38644,6.7520945,,0.38532,6.653322
0.45123,11.49018,,0.45104,11.135821,,0.45106,11.13207
0.51592,15.766554,,0.51511,15.591064,,0.51422,15.509178
0.57845,23.619971,,0.57815,23.580073,,0.57869,23.646476
0.64363,32.847223,,0.64372,32.860774,,0.64199,32.597236
0.70791,42.095696,,0.70756,42.032081,,0.70611,41.775338
0.77102,56.576037,,0.76972,56.28828,,0.76767,55.841532
0.83681,72.439355,,0.83487,71.936778,,0.833,71.455966
0.90108,89.231689,,0.90081,89.150225,,0.90174,89.425652
0.96422,114.24977,,0.96432,114.28545,,0.96453,114.35736
1.0297,147.69117,,1.0295,147.59654,,1.0277,146.80618
1.0934,165.08088,,1.0932,164.99822,,1.0922,164.56058
1.157,216.83559,,1.1578,217.29496,,1.1558,216.15019
1.2234,258.82871,,1.2227,258.40942,,1.2237,259.02366
1.2868,295.89331,,1.2867,295.80325,,1.2859,295.23148
1.3518,352.85911,,1.3494,350.98309,,1.3482,350.07443
1.4176,403.69049,,1.4168,402.96836,,1.4134,400.06939
1.4829,469.31628,,1.482,468.4504,,1.4814,467.89266
1.5439,558.99718,,1.5439,558.90981,,1.5376,552.16429
1.607,632.44863,,1.6057,630.97377,,1.6036,628.43071
1.6749,774.68215,,1.6777,778.4872,,1.6719,770.45255
1.7403,912.16743,,1.7407,912.88336,,1.7389,910.03446
1.8041,1001.0202,,1.8036,1000.3086,,1.8037,1000.3275
1.8651,1094.5363,,1.8618,1088.7252,,1.8549,1076.6746
1.9303,1264.1862,,1.9314,1266.3976,,1.9289,1261.4957
1.9957,1448.9217,,1.9951,1447.672,,1.9944,1446.1691
2.0642,1769.3183,,2.063,1766.2684,,2.0652,1771.9629
2.1201,1838.3731,,2.1162,1828.0617,,2.1121,1817.4069
2.1927,2296.5189,,2.1902,2288.6133,,2.1895,2286.587
2.2544,2471.1943,,2.2487,2452.4534,,2.2495,2455.3078
2.3178,2777.5139,,2.3129,2759.905,,2.3118,2755.8051
2.3753,2996.869,,2.3791,3011.3458,,2.371,2980.6646
2.447,3624.5818,,2.4378,3584.0321,,2.4438,3610.2216
2.5092,3981.0192,,2.5101,3985.0045,,2.5114,3991.2309
2.5578,4123.9711,,2.5558,4114.4422,,2.5459,4066.6609
2.6395,7027.996,,2.6394,7027.7856,,2.6394,7027.4944
