Conservative Binning (Horizon + .15 h Mpc^-1),,,Fiducial Binning (Horizon + .03 h Mpc^-1),,,Beardsley Binning (Primary Beam + .03 h Mpc^-1),
k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)",,k (hMpc^-1),"Error on ∆^2 (mK^2)
(includes sample variance)"
,,,0.064657,2.327000063,,0.066766,0.9144192653
,,,0.12599,6.136234403,,0.12482,5.802342775
0.19336,30.40487451,,0.18829,19.63217888,,0.18799,19.50020893
0.25744,49.63132901,,0.25303,46.12371878,,0.25302,46.102213
0.31873,97.10168191,,0.31825,96.55485371,,0.31857,96.84978644
0.3834,170.3999216,,0.38266,169.3749254,,0.38293,169.7386498
0.44887,273.9425811,,0.44773,271.8529936,,0.44801,272.3601842
0.51373,412.1108865,,0.51304,410.4560047,,0.51363,411.8830762
0.57846,599.8403712,,0.57827,599.2418176,,0.57829,599.3001585
0.6422,791.7609371,,0.64129,788.3842705,,0.6421,791.4023882
0.70624,1105.676359,,0.70707,1109.579177,,0.70538,1101.603268
0.77029,1473.567217,,0.77005,1472.219081,,0.77075,1476.218097
0.83525,1873.321695,,0.83446,1868.021766,,0.83568,1876.197943
0.89785,2289.187564,,0.89533,2269.935349,,0.89558,2271.831047
0.96451,3030.782621,,0.96504,3035.765825,,0.96399,3025.89351
1.0266,3537.177498,,1.0261,3532.49905,,1.0264,3535.391295
1.0905,4334.251416,,1.0915,4346.134678,,1.0896,4323.582356
1.1571,5480.045255,,1.1571,5479.102522,,1.1588,5503.670282
1.2209,6337.458065,,1.2219,6353.566371,,1.2212,6342.788014
1.2853,7676.456293,,1.2867,7702.370059,,1.2871,7709.88558
1.3465,8692.964231,,1.3465,8694.046404,,1.3462,8686.808785
1.4137,10638.9512,,1.4158,10687.30335,,1.4152,10674.29234
1.4811,12853.74599,,1.479,12801.01013,,1.4787,12792.36474
1.5422,14131.85911,,1.5383,14024.79283,,1.5375,14002.96975
1.61,17238.61741,,1.6107,17261.77484,,1.611,17272.10786
1.6728,18915.69784,,1.6728,18914.87097,,1.6741,18957.41068
1.7344,21331.83519,,1.7247,20975.77476,,1.7258,21012.74625
1.8017,26442.52142,,1.8045,26565.24189,,1.8029,26497.05989
1.8644,29567.10403,,1.8645,29570.64892,,1.8644,29565.33132
1.9265,31857.54623,,1.9276,31911.51727,,1.9295,32005.12552
1.9876,36845.06396,,1.9861,36763.36674,,1.988,36866.70163
2.0534,43808.97688,,2.0629,44415.43525,,2.0657,44597.65076
2.1253,49477.92105,,2.1319,49939.41569,,2.126,49526.6907
2.1919,60006.29391,,2.2026,60881.851,,2.2017,60807.54441
2.2409,57991.41118,,2.2357,57588.97103,,2.2318,57287.52363
2.3097,69617.632,,2.3087,69520.93593,,2.303,69010.96721
2.3801,83211.34138,,2.3748,82653.70496,,2.3734,82512.55987
2.436,89794.21166,,2.4215,88199.26127,,2.4169,87693.15188
2.5061,101580.0904,,2.5001,100860.4229,,2.5011,100976.0005
2.5645,110386.7809,,2.564,110313.5872,,2.5653,110488.3573
2.639,206097.8839,,2.6389,206084.7171,,2.639,206089.4764
