80.256 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 200.64 100.32 
85.248 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 213.12 106.56 
90.24 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 225.6 112.8 
85.568 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 213.92 106.96 
60.544 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 151.36 75.68 
46.592 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 116.48 58.24 
36.48 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 91.2 45.6 
27.52 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 68.8 34.4 
19.84 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 49.6 24.8 
12.544 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 31.36 15.68 
5.376 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 13.44 6.72 
0.416 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 1.04 0.52 
