0.000405236     0.00202618
0.00202618     0.00607854
0.00607854     0.0101309
0.0101309     0.0141833
0.0141833     0.0182356
0.0182356     0.022288
0.022288     0.0263403
0.0263403     0.0303927
0.0303927     0.0344451
0.0344451     0.0384974
0.0384974     0.0425498
0.0425498     0.0466021
0.0466021     0.0506545
0.0506545     0.0547069
0.0547069     0.0587592
0.0587592     0.0628116
0.0628116     0.066864
0.066864     0.0709163
0.0709163     0.0749687
0.0749687     0.079021
0.079021     0.0830734
0.0830734     0.0871258
0.0871258     0.0911781
0.0911781     0.0952305
0.0952305     0.0992828
0.0992828     0.103335
0.103335     0.107388
0.107388     0.11144
